"","GeneID","A_xenica_BW_1.quant","A_xenica_BW_2.quant","A_xenica_BW_3.quant","A_xenica_FW_1.quant","A_xenica_FW_2.quant","A_xenica_FW_3.quant","A_xenica_transfer_1.quant","A_xenica_transfer_2.quant","A_xenica_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","baseMean_BW_v_FW","log2FC_BW_v_FW","lfcSE_BW_v_FW","stat_BW_v_FW","pvalue_BW_v_FW","padj_BW_v_FW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"85233","ENSXMAP00000008437","120.434788889618","111.619661934842","143.162437325994","797.706090547804","719.264845030953","311.762076279471","317.999469607996","261.504375116023","230.974018762718",334.936418166158,-1.17404960199979,0.347495782760351,-3.37860100825876,0.000728556625304826,0.0641361118085804,334.936418166158,1.10860273161481,0.35122208922357,3.15641517327555,0.00159721337423009,0.0849702194098808,334.936418166158,-2.2826523336146,0.349660864420515,-6.5281893568432,6.65695051245297e-11,7.78974159132205e-08,"TRINITY_DN113452_c4_g1_i3","TRINITY_DN113452_c4_g1","Transcript_142658","gi|831568737|ref|XP_012734143.1| PREDICTED: arachidonate 5-lipoxygenase-activating protein [Fundulus heteroclitus]"
"85234","ENSXMAP00000008437","120.434788889618","111.619661934842","143.162437325994","797.706090547804","719.264845030953","311.762076279471","317.999469607996","261.504375116023","230.974018762718",334.936418166158,-1.17404960199979,0.347495782760351,-3.37860100825876,0.000728556625304826,0.0641361118085804,334.936418166158,1.10860273161481,0.35122208922357,3.15641517327555,0.00159721337423009,0.0849702194098808,334.936418166158,-2.2826523336146,0.349660864420515,-6.5281893568432,6.65695051245297e-11,7.78974159132205e-08,"TRINITY_DN113452_c4_g1_i4","TRINITY_DN113452_c4_g1","Transcript_142659","gi|831568737|ref|XP_012734143.1| PREDICTED: arachidonate 5-lipoxygenase-activating protein [Fundulus heteroclitus]"
"85235","ENSXMAP00000008437","120.434788889618","111.619661934842","143.162437325994","797.706090547804","719.264845030953","311.762076279471","317.999469607996","261.504375116023","230.974018762718",334.936418166158,-1.17404960199979,0.347495782760351,-3.37860100825876,0.000728556625304826,0.0641361118085804,334.936418166158,1.10860273161481,0.35122208922357,3.15641517327555,0.00159721337423009,0.0849702194098808,334.936418166158,-2.2826523336146,0.349660864420515,-6.5281893568432,6.65695051245297e-11,7.78974159132205e-08,"TRINITY_DN113452_c4_g1_i2","TRINITY_DN113452_c4_g1","Transcript_142657","gi|831568737|ref|XP_012734143.1| PREDICTED: arachidonate 5-lipoxygenase-activating protein [Fundulus heteroclitus]"
"33456","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i2","TRINITY_DN115363_c4_g2","Transcript_80261","gi|831496733|ref|XP_012709132.1| PREDICTED: transcription factor SOX-13 isoform X5 [Fundulus heteroclitus]"
"33457","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i6","TRINITY_DN115363_c4_g2","Transcript_80265","gi|831496733|ref|XP_012709132.1| PREDICTED: transcription factor SOX-13 isoform X5 [Fundulus heteroclitus]"
"33458","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i2","TRINITY_DN115363_c4_g2","Transcript_80261","gi|831496730|ref|XP_012709131.1| PREDICTED: transcription factor SOX-13 isoform X5 [Fundulus heteroclitus]"
"33459","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i7","TRINITY_DN115363_c4_g2","Transcript_80266","gi|831496733|ref|XP_012709132.1| PREDICTED: transcription factor SOX-13 isoform X5 [Fundulus heteroclitus]"
"33460","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i6","TRINITY_DN115363_c4_g2","Transcript_80265","gi|831496721|ref|XP_012709128.1| PREDICTED: transcription factor SOX-13 isoform X2 [Fundulus heteroclitus]"
"33461","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i4","TRINITY_DN115363_c4_g2","Transcript_80263","gi|831496721|ref|XP_012709128.1| PREDICTED: transcription factor SOX-13 isoform X2 [Fundulus heteroclitus]"
"33462","ENSONIP00000025493","519.61673388028","614.806997016938","577.780770659311","253.166496096411","246.457448471244","317.215286521415","378.135466897273","372.917884790572","420.110648483751",411.134192535244,0.516740653041656,0.174458805322935,2.96196372596461,0.00305683794511288,0.166005958938624,411.134192535244,-0.547181618355132,0.168231459247553,-3.25255229195839,0.00114373548858986,0.0683898330967046,411.134192535244,1.06392227139679,0.171602096987225,6.19993747206943,5.64855974087489e-10,4.4689374670952e-07,"TRINITY_DN115363_c4_g2_i7","TRINITY_DN115363_c4_g2","Transcript_80266","gi|831496718|ref|XP_012709127.1| PREDICTED: transcription factor SOX-13 isoform X1 [Fundulus heteroclitus]"
